id,content
1,"คำถาม: วันสุดท้ายคณะส่งข้อมูลรายวิชาตามแผนการศึกษาที่เปิดสอน ถึง กองบริการการศึกษา คำตอบ: 27 ก.พ. 68"
2,"คำถาม: วันสุดท้ายของการรับเอกสารขอโอนย้ายสถานศึกษา คำตอบ: 9 พ.ค. 68"
3,"คำถาม: นิสิตยื่นคำร้องขอเทียบโอนรายวิชาและผลการเรียนจากสถานศึกษาเดิม (UP 09) คำตอบ: 9 พ.ค. - 12 มิ.ย. 68"
4,"คำถาม: คณะรับคำร้องขอเทียบโอนรายวิชาและผลการเรียนจากสถานศึกษาเดิม (UP 09) คำตอบ: 9 พ.ค. - 13 มิ.ย. 68"
5,"คำถาม: นิสิตยื่นคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษา ถึง คณะต้นสังกัดของนิสิต (UP10) คำตอบ: 21 เม.ย. - 2 พ.ค. 68"
6,"คำถาม: คณะต้นสังกัดส่งคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษา ไปยัง คณะที่รับย้าย คำตอบ: 6 - 9 พ.ค. 68"
7,"คำถาม: คณะที่รับย้ายส่งคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษา ไปยัง กองบริการการศึกษา คำตอบ: 13 - 16 พ.ค. 68"
8,"คำถาม: คณะตรวจสอบรายวิชาตามแผนการศึกษา คำตอบ: 14 - 16 พ.ค. 68"
9,"คำถาม: วันประกาศตารางเรียนตารางสอน คำตอบ: 19 พ.ค. 68"
10,"คำถาม: วันพบอาจารย์ที่ปรึกษา คำตอบ: 19 พ.ค. 68"
11,"คำถาม: นิสิตยื่นความประสงค์ลงทะเบียนรายวิชาตามแผนการศึกษาผ่านระบบ (UP 20.1) คำตอบ: 19 พ.ค. - 16 มิ.ย. 68"
12,"คำถาม: วันลงทะเบียนเรียน และลงทะเบียนรักษาสภาพการเป็นนิสิต คำตอบ: 27 พ.ค. - 2 มิ.ย. 68"
13,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน (เริ่มชำระได้ตั้งแต่ยืนยันการลงทะเบียน) คำตอบ: 27 พ.ค. - 2 มิ.ย. 68"
14,"คำถาม: นิสิตยื่นคำร้องขอสำเร็จการศึกษา (UP 24) และชำระเงินค่าขึ้นทะเบียนปริญญาบัตร คำตอบ: 27 พ.ค. - 2 มิ.ย. 68"
15,"คำถาม: นิสิตยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) คำตอบ: 27 พ.ค. - 2 มิ.ย. 68"
16,"คำถาม: คณะส่งคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) ถึง กองบริการการศึกษา คำตอบ: 27 พ.ค. - 6 มิ.ย. 68"
17,"คำถาม: วันสุดท้ายคณะรับคำร้องขอสำเร็จการศึกษา (UP 24) คำตอบ: 6 มิ.ย. 68"
18,"คำถาม: วันสุดท้ายคณะรวบรวมรายชื่อขอสำเร็จการศึกษา (UP 24) ถึง กองบริการการศึกษา คำตอบ: 11 มิ.ย. 68"
19,"คำถาม: คณะส่งแบบฟอร์มการขอเปลี่ยนแปลงตารางเรียนตารางสอน (UP 20) ถึง กองบริการการศึกษา คำตอบ: 29 พ.ค. - 18 มิ.ย. 68"
20,"คำถาม: คณะส่งแบบฟอร์มการขอเปิดรายวิชาฯ (UP 21) ถึง กองบริการการศึกษา คำตอบ: 29 พ.ค. - 18 มิ.ย. 68"
21,"คำถาม: วันเปิดภาคการศึกษา (ฝึกงาน ณ สาธารณรัฐประชาชนจีน) คำตอบ: 9 มิ.ย. 68"
22,"คำถาม: ลงทะเบียนเรียนช้า และลงทะเบียนรักษาสภาพการเป็นนิสิต เพิ่ม-ถอนรายวิชาไม่ได้รับอักษร W คำตอบ: 9 - 20 มิ.ย. 68"
23,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน (สำหรับนิสิตที่ลงทะเบียนล่าช้า) คำตอบ: 10 - 20 มิ.ย. 68"
24,"คำถาม: นิสิตยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) คำตอบ: 10 - 20 มิ.ย. 68"
25,"คำถาม: คณะรับคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) คำตอบ: 10 - 23 มิ.ย. 68"
26,"คำถาม: นิสิตยื่นคำร้องขอสำเร็จการศึกษาล่าช้า (UP 25) คำตอบ: 7 มิ.ย. - 22 ส.ค. 68"
27,"คำถาม: คณะรับคำร้องขอสำเร็จการศึกษาล่าช้า (UP 25) คำตอบ: 7 มิ.ย. - 25 ส.ค. 68"
28,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึง คณะเจ้าของรายวิชา คำตอบ: 7 ก.ค. 68"
29,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึง กองบริการการศึกษา คำตอบ: 14 ก.ค. 68"
30,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอคืนสภาพการเป็นนิสิตเพื่อลงทะเบียนเรียน (UP 4) (นิสิต) คำตอบ: 25 ก.ค. 68"
31,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอเพิ่มรายวิชาหลังกำหนด (UP 5) (นิสิต) คำตอบ: 25 ก.ค. 68"
32,"คำถาม: วันสุดท้ายคณะส่งคำร้องขอคืนสภาพการเป็นนิสิตเพื่อลงทะเบียนเรียน (UP 4) ถึง กองบริการการศึกษา คำตอบ: 29 ก.ค. 68"
33,"คำถาม: วันสุดท้ายคณะส่งคำร้องขอเพิ่มรายวิชาหลังกำหนด (UP 5) ถึง กองบริการการศึกษา คำตอบ: 29 ก.ค. 68"
34,"คำถาม: วันสุดท้ายของการชำระค่าลงทะเบียนเรียน กรณีได้รับอนุมัติให้ผ่อนผัน (UP 18) คำตอบ: 4 ส.ค. 68"
35,"คำถาม: นิสิตยื่นคำร้องขอถอนรายวิชาโดยได้รับอักษร W (UP 08) คำตอบ: 15 ก.ย. 68"
36,"คำถาม: วันสุดท้ายคณะส่งคำร้องขอถอนรายวิชาโดยได้รับอักษร W (UP 08) ถึง กองบริการการศึกษา คำตอบ: 19 ก.ย. 68"
37,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาพักการศึกษา (UP 13) คำตอบ: 26 ก.ย. 68"
38,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาออกโดยไม่ได้รับผลการเรียน (UP 14) คำตอบ: 26 ก.ย. 68"
39,"คำถาม: วันประเมินการสอนผ่านระบบทะเบียนออนไลน์ คำตอบ: 3 - 16 พ.ค. 69"
40,"คำถาม: วันสุดท้ายของการฝึกงาน ณ สาธารณรัฐประชาชนจีน คำตอบ: 24 เม.ย. 69"
41,"คำถาม: วันเดินทางกลับมายังประเทศไทย คำตอบ: 27 เม.ย. - 3 พ.ค. 69"
42,"คำถาม: วันสอบจบการศึกษา คำตอบ: 6 - 26 พ.ค. 69"
43,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอแก้ไขชื่อ - สกุล (UP 11) ของนิสิตที่คาดว่าจะสำเร็จการศึกษา คำตอบ: 22 พ.ค. 69"
44,"คำถาม: วันสุดท้ายของการยื่นผลการทดสอบภาษาอังกฤษเพื่อสำเร็จการศึกษา คำตอบ: 19 - 25 พ.ค. 69"
45,"คำถาม: วันปิดภาคการศึกษา คำตอบ: 27 พ.ค. 69"
46,"คำถาม: วันสุดท้ายของการส่งรายงานผลการเรียนรายวิชา ถึง คณะเจ้าของรายวิชา คำตอบ: 9 มิ.ย. 69"
47,"คำถาม: วันสุดท้ายของการส่งรายงานผลการเรียนรายวิชา ถึง กองบริการการศึกษา คำตอบ: 15 มิ.ย. 69"
48,"คำถาม: วันสำเร็จการศึกษา คำตอบ: 27 พ.ค. 69"
49,"คำถาม: การนำเสนอการศึกษารายกรณี (present case study) คำตอบ: 6 พ.ค. 69"
50,"คำถาม: การสอบประมวลความรู้ ภาคทฤษฎี (Comprehensive Examination) คำตอบ: 8 พ.ค. 69"
51,"คำถาม: การสอบประมวลความรู้ ภาคปฏิบัติ (Comprehensive Examination) คำตอบ: 9 พ.ค. 69"
52,"คำถาม: การสอบซ่อมการสอบประมวลความรู้ ภาคทฤษฎี และภาคปฏิบัติ (Comprehensive Examination) คำตอบ: 19 - 20 พ.ค. 69"
53,"คำถาม: คณะส่งข้อมูลรายวิชาตามแผนการศึกษาที่เปิดสอนถึงกองบริการการศึกษา คำตอบ: ภาคต้น 3 มี.ค. 68 / ภาคปลาย 21 ก.ค. 68 / ภาคฤดูร้อน 12 ม.ค. 69"
54,"คำถาม: วันสุดท้ายของการรับเอกสารขอโอนย้ายสถานศึกษา คำตอบ: ภาคต้น 16 พ.ค. 68 / ภาคปลาย 3 ต.ค. 68"
55,"คำถาม: นิสิตยื่นคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษาถึงคณะต้นสังกัดของนิสิต (UP 10) คำตอบ: ภาคต้น 28 เม.ย. - 8 พ.ค. 68 / ภาคปลาย 15 - 26 ก.ย. 68 / ภาคฤดูร้อน 2 - 13 ก.พ. 69"
56,"คำถาม: คณะต้นสังกัดส่งคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษา ไปยังคณะที่รับย้าย คำตอบ: ภาคต้น 13 - 16 พ.ค. 68 / ภาคปลาย 29 ก.ย. - 3 ต.ค. 68 / ภาคฤดูร้อน 16 - 20 ก.พ. 69"
57,"คำถาม: คณะที่รับย้ายส่งคำร้องขอย้ายคณะ หลักสูตร และแผนการศึกษา ไปยังกองบริการการศึกษา คำตอบ: ภาคต้น 19 - 23 พ.ค. 68 / ภาคปลาย 6 - 10 ต.ค. 68 / ภาคฤดูร้อน 23 - 27 ก.พ. 69"
58,"คำถาม: คณะตรวจสอบรายวิชาตามแผนการศึกษา คำตอบ: ภาคต้น 26 - 30 พ.ค. 68 / ภาคปลาย 14 - 17 ต.ค. 68 / ภาคฤดูร้อน 2 - 6 มี.ค. 69"
59,"คำถาม: นิสิตยื่นความประสงค์ลงทะเบียนรายวิชาตามแผนการศึกษาผ่านระบบ (UP 20.1) คำตอบ: ภาคต้น 2 - 25 มิ.ย. 68 / ภาคปลาย 20 ต.ค. - 12 พ.ย. 68 / ภาคฤดูร้อน 9 - 25 มี.ค. 69"
60,"คำถาม: วันลงทะเบียนเรียน และลงทะเบียนรักษาสภาพการเป็นนิสิต ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 23 - 27 มี.ค. 69"
61,"คำถาม: วันลงทะเบียนเรียน และลงทะเบียนรักษาสภาพการเป็นนิสิต ชั้นปี 3 คำตอบ: ภาคต้น 9 - 13 มิ.ย. 68 / ภาคปลาย 27 - 31 ต.ค. 68 / ภาคฤดูร้อน 16 - 20 มี.ค. 69"
62,"คำถาม: วันลงทะเบียนเรียน และลงทะเบียนรักษาสภาพการเป็นนิสิต ชั้นปี 2 คำตอบ: ภาคต้น 9 - 13 มิ.ย. 68 / ภาคปลาย 27 - 31 ต.ค. 68 / ภาคฤดูร้อน 20 - 24 เม.ย. 69"
63,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 23 - 27 มี.ค. 69"
64,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน ชั้นปี 3 คำตอบ: ภาคต้น 9 - 13 มิ.ย. 68 / ภาคปลาย 27 - 31 ต.ค. 68 / ภาคฤดูร้อน 16 - 20 มี.ค. 69"
65,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน ชั้นปี 2 คำตอบ: ภาคต้น 9 - 13 มิ.ย. 68 / ภาคปลาย 27 - 31 ต.ค. 68 / ภาคฤดูร้อน 20 - 24 เม.ย. 69"
66,"คำถาม: นิสิต ยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 23 - 27 มี.ค. 69"
67,"คำถาม: นิสิต ยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) ชั้นปี 3 คำตอบ: ภาคต้น 9 - 13 มิ.ย. 68 / ภาคปลาย 27 - 31 ต.ค. 68 / ภาคฤดูร้อน 16 - 20 มี.ค. 69"
68,"คำถาม: นิสิต ยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) ชั้นปี 2 คำตอบ: ภาคต้น 9 - 13 มิ.ย. 68 / ภาคปลาย 27 - 31 ต.ค. 68 / ภาคฤดูร้อน 20 - 24 เม.ย. 69"
69,"คำถาม: คณะ ส่งคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) ถึงกองบริการการศึกษา ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 23 - 30 มี.ค. 69"
70,"คำถาม: คณะ ส่งคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) ถึงกองบริการการศึกษา ชั้นปี 3 คำตอบ: ภาคต้น 9 - 16 มิ.ย. 68 / ภาคปลาย 27 ต.ค. - 3 พ.ย. 68 / ภาคฤดูร้อน 16 - 23 มี.ค. 69"
71,"คำถาม: คณะ ส่งคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) ถึงกองบริการการศึกษา ชั้นปี 2 คำตอบ: ภาคต้น 9 - 16 มิ.ย. 68 / ภาคปลาย 27 ต.ค. - 3 พ.ย. 68 / ภาคฤดูร้อน 20 - 27 เม.ย. 69"
72,"คำถาม: วันเปิดภาคการศึกษา ชั้นปี 4-6 คำตอบ: ภาคต้น 12 พ.ค. 68 / ภาคฤดูร้อน 23 มี.ค. 69"
73,"คำถาม: วันเปิดภาคการศึกษา ชั้นปี 3 คำตอบ: ภาคต้น 4 มิ.ย. 68 / ภาคปลาย 3 พ.ย. 68 / ภาคฤดูร้อน 16 มี.ค. 69"
74,"คำถาม: วันเปิดภาคการศึกษา ชั้นปี 2 คำตอบ: ภาคต้น 16 มิ.ย. 68 / ภาคปลาย 3 พ.ย. 68 / ภาคฤดูร้อน 20 เม.ย. 69"
75,"คำถาม: ช่วงเวลาจัดการเรียนการสอน ชั้นปี 4-6 คำตอบ: ภาคต้น 12 พ.ค. 68 - 22 มี.ค. 69 / ภาคฤดูร้อน 23 มี.ค. - 29 พ.ค. 69"
76,"คำถาม: ช่วงเวลาจัดการเรียนการสอน ชั้นปี 3 คำตอบ: ภาคต้น 4 มิ.ย. - 8 ส.ค. 68 / ภาคปลาย 3 พ.ย. 68 - 10 มี.ค. 69 / ภาคฤดูร้อน 16 มี.ค. - 22 พ.ค. 69"
77,"คำถาม: ช่วงเวลาจัดการเรียนการสอน ชั้นปี 2 คำตอบ: ภาคต้น 16 มิ.ย. - 8 ส.ค. 68 / ภาคปลาย 3 พ.ย. 68 - 7 เม.ย. 69 / ภาคฤดูร้อน 20 เม.ย. - 29 พ.ค. 69"
78,"คำถาม: ลงทะเบียนเรียนล่าช้าและลงทะเบียนรักษาสภาพการเป็นนิสิต เพิ่ม-ถอนรายวิชาไม่ได้รับอักษร W ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 30 มี.ค. - 10 เม.ย. 69"
79,"คำถาม: ลงทะเบียนเรียนล่าช้าและลงทะเบียนรักษาสภาพการเป็นนิสิต เพิ่ม-ถอนรายวิชาไม่ได้รับอักษร W ชั้นปี 3 คำตอบ: ภาคต้น 16 - 27 มิ.ย. 68 / ภาคปลาย 3 - 14 พ.ย. 68 / ภาคฤดูร้อน 23 มี.ค. - 3 เม.ย. 69"
80,"คำถาม: ลงทะเบียนเรียนล่าช้าและลงทะเบียนรักษาสภาพการเป็นนิสิต เพิ่ม-ถอนรายวิชาไม่ได้รับอักษร W ชั้นปี 2 คำตอบ: ภาคต้น 16 - 27 มิ.ย. 68 / ภาคปลาย 3 - 14 พ.ย. 68 / ภาคฤดูร้อน 27 เม.ย. - 8 พ.ค. 69"
81,"คำถาม: นิสิต ยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 31 มี.ค. - 10 เม.ย. 69"
82,"คำถาม: นิสิต ยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 3 คำตอบ: ภาคต้น 17 - 27 มิ.ย. 68 / ภาคปลาย 4 - 14 พ.ย. 68 / ภาคฤดูร้อน 24 มี.ค. - 3 เม.ย. 69"
83,"คำถาม: นิสิต ยื่นคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 2 คำตอบ: ภาคต้น 17 - 27 มิ.ย. 68 / ภาคปลาย 4 - 14 พ.ย. 68 / ภาคฤดูร้อน 28 เม.ย. - 8 พ.ค. 69"
84,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 31 มี.ค. - 10 เม.ย. 69"
85,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 3 คำตอบ: ภาคต้น 17 - 27 มิ.ย. 68 / ภาคปลาย 4 - 14 พ.ย. 68 / ภาคฤดูร้อน 24 มี.ค. - 3 เม.ย. 69"
86,"คำถาม: ชำระเงินค่าลงทะเบียนเรียน (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 2 คำตอบ: ภาคต้น 17 - 27 มิ.ย. 68 / ภาคปลาย 4 - 14 พ.ย. 68 / ภาคฤดูร้อน 28 เม.ย. - 8 พ.ค. 69"
87,"คำถาม: คณะ รับคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 31 มี.ค. - 16 เม.ย. 69"
88,"คำถาม: คณะ รับคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 3 คำตอบ: ภาคต้น 17 - 30 มิ.ย. 68 / ภาคปลาย 4 - 17 พ.ย. 68 / ภาคฤดูร้อน 24 มี.ค. - 7 เม.ย. 69"
89,"คำถาม: คณะ รับคำร้องขอผ่อนผันการลงทะเบียนเรียน (UP 18) (สำหรับนิสิตที่ลงทะเบียนล่าช้า) ชั้นปี 2 คำตอบ: ภาคต้น 17 - 30 มิ.ย. 68 / ภาคปลาย 4 - 17 พ.ย. 68 / ภาคฤดูร้อน 28 เม.ย. - 11 พ.ค. 69"
90,"คำถาม: นิสิตยื่นคำร้องขอสำเร็จการศึกษา (UP 24) ชำระเงินค่าขึ้นทะเบียนปริญญาบัตร และสมัครสมาชิกแพทยสภา (สำหรับนิสิตชั้นปีที่ 6) คำตอบ: ภาคต้น 3 พ.ย. - 2 ธ.ค. 68 / ภาคฤดูร้อน 23 มี.ค. - 21 เม.ย. 69"
91,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึงคณะเจ้าของรายวิชา ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 16 เม.ย. 69"
92,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึงคณะเจ้าของรายวิชา ชั้นปี 3 คำตอบ: ภาคต้น 15 ก.ค. 68 / ภาคปลาย 28 พ.ย. 68 / ภาคฤดูร้อน 7 เม.ย. 69"
93,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึงคณะเจ้าของรายวิชา ชั้นปี 2 คำตอบ: ภาคต้น 15 ก.ค. 68 / ภาคปลาย 28 พ.ย. 68 / ภาคฤดูร้อน 11 พ.ค. 69"
94,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึงกองบริการการศึกษา ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 20 เม.ย. 69"
95,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึงกองบริการการศึกษา ชั้นปี 3 คำตอบ: ภาคต้น 18 ก.ค. 68 / ภาคปลาย 4 ธ.ค. 68 / ภาคฤดูร้อน 10 เม.ย. 69"
96,"คำถาม: วันสุดท้ายของการส่งรายงานผลขอแก้ไขอักษร I ถึงกองบริการการศึกษา ชั้นปี 2 คำตอบ: ภาคต้น 18 ก.ค. 68 / ภาคปลาย 4 ธ.ค. 68 / ภาคฤดูร้อน 14 พ.ค. 69"
97,"คำถาม: นิสิตยื่นคำร้องขอถอนรายวิชาโดยได้รับอักษร W (UP 08) ชั้นปี 4-6 คำตอบ: ภาคต้น 30 มิ.ย. 68 - 23 ก.พ. 69"
98,"คำถาม: นิสิตยื่นคำร้องขอถอนรายวิชาโดยได้รับอักษร W (UP 08) ชั้นปี 3 คำตอบ: ภาคต้น 30 มิ.ย. - 8 ก.ย. 68 / ภาคปลาย 17 พ.ย. 68 - 10 ก.พ. 69 / ภาคฤดูร้อน 22 พ.ค. 69"
99,"คำถาม: นิสิตยื่นคำร้องขอถอนรายวิชาโดยได้รับอักษร W (UP 08) ชั้นปี 2 คำตอบ: ภาคต้น 30 มิ.ย. - 8 ก.ย. 68 / ภาคปลาย 17 พ.ย. 68 - 6 มี.ค. 69 / ภาคฤดูร้อน 22 พ.ค. 69"
100,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอคืนสภาพการเป็นนิสิตเพื่อลงทะเบียนเรียน (UP 4) ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 18 มี.ค. 69"
101,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอคืนสภาพการเป็นนิสิตเพื่อลงทะเบียนเรียน (UP 4) ชั้นปี 3 คำตอบ: ภาคต้น 3 ส.ค. 68 / ภาคปลาย 6 มี.ค. 69 / ภาคฤดูร้อน 26 พ.ค. 69"
102,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอคืนสภาพการเป็นนิสิตเพื่อลงทะเบียนเรียน (UP 4) ชั้นปี 2 คำตอบ: ภาคต้น 3 ส.ค. 68 / ภาคปลาย 3 เม.ย. 69 / ภาคฤดูร้อน 26 พ.ค. 69"
103,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอเพิ่มรายวิชาหลังกำหนด (UP 5) คำตอบ: ภาคต้น 1 ส.ค. 68 / ภาคปลาย 19 ธ.ค. 68 / ภาคฤดูร้อน 24 เม.ย. 69"
104,"คำถาม: วันสุดท้ายของการชำระค่าลงทะเบียนเรียน (กรณีที่ได้รับอนุมัติให้ผ่อนผัน UP 18) ชั้นปี 4-6 คำตอบ: ภาคฤดูร้อน 11 พ.ค. 69"
105,"คำถาม: วันสุดท้ายของการชำระค่าลงทะเบียนเรียน (กรณีที่ได้รับอนุมัติให้ผ่อนผัน UP 18) ชั้นปี 3 คำตอบ: ภาคต้น 29 ก.ค. 68 / ภาคปลาย 15 ธ.ค. 68 / ภาคฤดูร้อน 4 พ.ค. 69"
106,"คำถาม: วันสุดท้ายของการชำระค่าลงทะเบียนเรียน (กรณีที่ได้รับอนุมัติให้ผ่อนผัน UP 18) ชั้นปี 2 คำตอบ: ภาคต้น 29 ก.ค. 68 / ภาคปลาย 15 ธ.ค. 68 / ภาคฤดูร้อน 5 มิ.ย. 69"
107,"คำถาม: วันประเมินการสอนผ่านระบบทะเบียนออนไลน์ ชั้นปี 4-6 คำตอบ: ภาคต้น 12 พ.ค. 68 - 22 มี.ค. 69"
108,"คำถาม: วันประเมินการสอนผ่านระบบทะเบียนออนไลน์ ชั้นปี 3 คำตอบ: ภาคต้น 4 มิ.ย. - 8 ส.ค. 68 / ภาคปลาย 3 พ.ย. 68 - 10 มี.ค. 69 / ภาคฤดูร้อน 29 พ.ค. 69"
109,"คำถาม: วันประเมินการสอนผ่านระบบทะเบียนออนไลน์ ชั้นปี 2 คำตอบ: ภาคต้น 16 มิ.ย. - 8 ส.ค. 68 / ภาคปลาย 3 พ.ย. 68 - 7 เม.ย. 69 / ภาคฤดูร้อน 29 พ.ค. 69"
110,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาพักการศึกษา (UP 13) ชั้นปี 4-6 คำตอบ: ภาคต้น 13 มี.ค. 69"
111,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาพักการศึกษา (UP 13) ชั้นปี 3 คำตอบ: ภาคต้น 3 ต.ค. 68 / ภาคปลาย 4 มี.ค. 69 / ภาคฤดูร้อน 22 พ.ค. 69"
112,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาพักการศึกษา (UP 13) ชั้นปี 2 คำตอบ: ภาคต้น 3 ต.ค. 68 / ภาคปลาย 31 มี.ค. 69 / ภาคฤดูร้อน 22 พ.ค. 69"
113,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาออกโดยไม่ได้รับผลการเรียน (UP 14) ชั้นปี 4-6 คำตอบ: ภาคต้น 13 มี.ค. 69"
114,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาออกโดยไม่ได้รับผลการเรียน (UP 14) ชั้นปี 3 คำตอบ: ภาคต้น 3 ต.ค. 68 / ภาคปลาย 4 มี.ค. 69 / ภาคฤดูร้อน 22 พ.ค. 69"
115,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอลาออกโดยไม่ได้รับผลการเรียน (UP 14) ชั้นปี 2 คำตอบ: ภาคต้น 3 ต.ค. 68 / ภาคปลาย 31 มี.ค. 69 / ภาคฤดูร้อน 22 พ.ค. 69"
116,"คำถาม: วันสุดท้ายของการยื่นคำร้องขอแก้ไขชื่อ - สกุล (UP 11) ของนิสิตที่คาดว่าจะสำเร็จการศึกษา คำตอบ: ภาคต้น 6 มี.ค. 69"
117,"คำถาม: วันสุดท้ายของการยื่นผลการทดสอบภาษาอังกฤษเพื่อสำเร็จการศึกษา คำตอบ: ภาคต้น 20 มี.ค. 69 / ภาคฤดูร้อน 29 พ.ค. 69"
118,"คำถาม: วันปิดภาคการศึกษา ชั้นปี 4-6 คำตอบ: ภาคต้น 22 มี.ค. 69"
119,"คำถาม: วันปิดภาคการศึกษา ชั้นปี 3 คำตอบ: ภาคต้น 8 ส.ค. 68 / ภาคปลาย 10 มี.ค. 69 / ภาคฤดูร้อน 29 พ.ค. 69"
